g_dict=`
a|неопределенный артикль
a-capella|а капелла(муз)
a-good-deal-of-money|много денег
a-go-go|дискотека(муз)
aback|назад;задом;сзади
abaction|крупная кража или угон скота(юр)
abacus|счеты;абак;координатная сетка;сетчатая номограмма
abaft|на корме;в сторону кормы;с кормы;позади;сзади
abalienated|страдающий душевным расстройством
abalienation|психоз;душевное расстройство
abalone|морское ушко(зоол)
abandon|покидать;оставлять;самовольно уходить(с поста);отказываться;сдавать;закрывать;консервировать(предприятие);предаваться(страсти,отчаянию);импульсивность;мощность;сила;энергия;абандон
abandoned|заброшенный;покинутый;падший;распутный;несдержанный;безудержный;бурный;неконтролируемый;необузданный
abandonee|лицо,в пользу которого имеет место отказ от права(юр);страховщик,в пользу которого остается застрахованный груз
abandonment|оставление;отказ(от права,иска);заброшенность;запущенность;абандон(экон)
abandonment-of-invention|отказ от права на изобретение
abandonment-of-ownership|отказ от права собственности
abarticulation|диартроз(биол)
abase|попирать;уничижать;понижать(в чине,должности)
abasement|унижение;уничижение;понижение(в чине,должности)
abashed|сконфуженный;смешавшийся;смущенный
abashment|смущение;паника;растерянность
abate|ослаблять;уменьшать;умерять;снижать;сбавлять;делать скидку;уменьшаться;ослабевать;утихать(о буре,эпидемии);стесывать(камень);аннулировать;отменять;прекращать;устранять;незаконно завладеть недвижимостью до вступления наследника во владение(юр)
abatement|уменьшение;ослабление;смягчение;снижение;сокращение;скидка;уступка;прекращение;устранение;остановка;отмена;угасание;аннулирование;незаконное завладение недвижимостью до вступления наследника во владение(юр)
abatement-of-action|прекращение иска
abatement-of-suit|прекращение производства по делу
abater|прошение о прекращении судебного процесса
abatis|завал;засека;ограда из колючей проволоки
abattoir|бойня;скотобойня
abbacy|аббатство;сан аббата;срок исполнения настоятелем монастыря своих обязанностей(церк)
abbess|аббатиса;настоятельница монастыря(церк)
abbey|аббатство;монастырь;главная церковь аббатства(церк)
abbot|аббат
abbreviate|сокращать(текст);урезывать;использовать сокращения,аббревиатуры;выписка из документа(юр)
abbreviate-of-adjudication|выдержка из решения суда
abbreviation|аббревиатура;сокращение;сокращенное наименование
abc-book|букварь
abdicate|отрекаться(от престола);отказываться(от права,поста);отрекаться(от своего ребенка)(юр)
abdication|отречение(от престола);отказ(от права,претензии,должности);сложение полномочий
abdomen|брюшная полость;живот;брюшко(насекомого)(биол)
abdominous|толстый
abducens|наружная прямая кишка(анат)
abduct|похищать;насильно(обманом))увозить другое лицо
abduction|абдукция;похищение;насильственный увоз другого лица;силлогизм,малая посылка которого является лишь вероятной
abearance|данное под поручительством обязательство не нарушать закон
abecedarian|расположенный в алфавитном порядке;относящийся к алфавиту;азбучный;примитивный;простой;элементарный;обучающий;обучающийся грамоте;начинающий
abecedary|азбука;букварь
abed|в постели;на кровать;лежащий,находящийся в постели или на кровати;прикованный к постели;преждевременное завершение;аварийная остановка
abenteric|внекишечный(мед)
aberdevine|чиж(орнит)
aberrance|отклонение от правильного пути(книж);отклонение от нормального типа;аберрация(биол)
aberrant|заблуждающийся;сбившийся с правильного пути;отклонившийся;отклоняющийся от нормы;аберрантный(биол)
aberration|помрачение ума;отклонение от нормы
abet|подстрекать;содействовать(совершению чего-либо дурного);поощрять кого-либо сделать что-либо плохое;соучаствовать в совершении преступления;поддерживать
abetment|подстрекательство к совершению преступления;поощрение(плохого);содействие(дурному)
abettor|подстрекатель;пособник;соучастник;соумышленник
abeyance|состояние неопределенности(неизвестности,ожидания разрешения какого- либо дела);временное бездействие;временное прекращение(юр);приостановление;временная отмена(закона,права);отсутствие владельца,претендента на собственность или наследство(юр)
abhor|питать отвращение;ненавидеть;не выносить(разг)
abhorrence|отвращение;омерзение;ненависть;резко отрицательное отношение;то,что вызывает отвращение,ненависть
abidance|соблюдение чего-либо;подчинение чему-либо;выполнение;жительство;пребывание(книж)
abide|оставаться верным(неизменным);придерживаться(выполнять)обещания;следовать чему-либо;действовать в соответствии с чем-либо;принимать что-либо во внимание;(быть вынужденным)считаться с чем-либо;пребывать;жить;обитать;проживать;ждать;ожидать(покорно или пассивно);вынести;пережить;вытерпеть;выносить;терпеть
abiding|постоянный;неизменный
abience|избегание
ability|способность;возможность сделать что-либо;ловкость;квалификация;умение;дарование;платежеспособность(фин);компетенция;правоспособность;дееспособность(юр)
ability-to-conceive|способность к зачатию
ability-to-pay|платежеспособность
abintestate|наследник при отсутствии завещания
abiogenesis|самозарождение;абиогенез
abiosis|смерть;абиоз;состояние безжизненности
abirritate|уменьшать раздражение
abishered|освобожденный от штрафов
abject|жалкий;презренный;низкий;униженный;несчастный;находящийся в унизительном положении;подобострастный;раболепный
abjection|унижение;уничижение;униженность
abjuration|клятвенное отречение
abjure|отказываться;отрекаться;отступаться;сторониться;чуждаться;отказываться(от требования);отрицать что-либо под присягой
ablastous|неспособный к прорастанию(образованию почек)
ablation|ампутация
ablative|аблатив;творительный падеж;слово в аблативе
ablaze|горящий;пылающий;сверкающий;сияющий;блистающий;возбужденный;взволнованный;пылкий
able|способный;обладающий способностью;талантливый;годный;компетентный;квалифицированный;умелый;умеющий;знающий;правоспособный;дееспособный;платежеспособный(юр)
able-bodied|крепкий;здоровый;годный(к военной службе);трудоспособный(экон)
able-minded|способный;умный
ablepsia|слепота;неспособность видеть
ablocate|брать в наём;сдавать в наём
abloom|растущий;цветущий;в цвету
ablush|покрывшись румянцем;смущенный
ablution|омовение;обмывание;вода или иная жидкость для омовения
ably|умело;искусно;ловко;компетентно;квалифицированно;талантливо;умно
abnegate|отказывать себе в чем-либо;отказываться(от прав,привилегий);отрицать;отвергать;опровергать;отрекаться;противоречить
#(to abnegate powers/сложить с себя полномочия)
abnormal|аномальный;ненормальный;неправильный;огромный;необычно большого размера;отклоняющийся от средней величины
abnormal-amount-of-rain|выпадение осадков выше нормы(для данного времени года)
abnormal-behaviour|неадекватное поведение
abnormal-mentally|психически ненормальный
abnormal-refraction|аномальная рефракция
abnormality|аномальность;ненормальность;отклонение от принятого
abnormally-dangerous|чрезвычайно опасный
aboard|на борту(судна,самолета,поезда,автобуса);вдоль
abode|жилище;местонахождение;местожительство
abode-fixed|постоянное местожительство
abolish|отменять;упразднять;положить конец чему-либо;уничтожать;разрушать;аннулировать;сводить к нулю
abolishment|гашение;отмена;подавление;упразднение;аннулирование;разрушение;уничтожение
abolition|отмена;аннулирование(договора,закона);ликвидация;избавление от чего- либо;устранение;прекращение уголовного преследования
abominable|гнусный;противный;гадкий;страшный;ужасный;грязно;мерзко;отвратительно
abominate|питать отвращение;ненавидеть
abomination|отвращение;гнусность
abonent|абонент;пользователь
abonent-net|абонент сети
aboriginal|исконный;коренной;местный;первобытный;туземец;коренной житель;абориген;исконное слово
aborigine|туземец;абориген;представитель коренного населения;флора и фауна данного(географического)района
abort|иметь выкидыш;производить искусственный аборт;потерпеть неудачу(в самом начале чего-либо);не удаваться;остаться недоразвитым(биол);останавливать;прекращать;предотвращать;прерывать выполнение программы(компьют);аварийно заканчиваться;срываться
aborted|недоношенный;недоразвитый;прекращенный(биол)
abortion|аборт;выкидыш;недоразвитие органа
abortionist|подпольный акушер
abortive|абортивное средство;выкидыш;преждевременный(о родах);безуспешный;бесплодный;неудавшийся;прерванный;неудачный
abortive-crime|покушение на преступление
abortus|недоразвитый плод,полученный в результате искусственного аборта
abosis|смерть;абиоз;состояние безжизненности
abound|быть в большом количестве;иметь в большом количестве;изобиловать
about|кругом;вокруг;недалеко;приблизительно;около;почти;при;нахождение в разных местах тут и там;по;поблизости;относительно;насчет;существующий,находящийся в обращении;меняющий курс;ложащийся,поворачивающий на другой галс
about-face|(сущ)(ə'baut'feis-гл)поворот кругом;внезапное и полное изменение(отношения,точки зрения);отскок назад(приуда- ре);повернуть(ся)кругом;внезапно и полностью изменить(отношение,политику,точку зрения)
about-ship|менять курс
about-sledge|кузнечный молот
about-towner|завсегдатай ночных клубов
above|наверху;выше;вверх;ранее;наверх;более;больше;свыше;на небе;в небесах;на спине(зоол);над;раньше;до(в книге,документе);вышеупомянутое
above-average|выше среднего
above-lock|вверх по течению реки
above-normal|выше нормы
above-par|выше номинальной стоимости
above-rubies|неоценимый
above-sea-level|над уровнем моря
above-the-battle|беспристрастный;стоящий в стороне от схватки
above-the-standard|выше нормы
above-board|добропорядочный;открытый;порядочный;прямой;честный;открыто;честно
above-earth-potential|фазовое напряжение(техн)
above-ground|живущий;живой;жизненный;наземный;надземный(бот);открытый;прямой;откровенный
above-mentioned|вышеупомянутый;вышеупомянутое
abracadabra|заклинание;абсурд;бессмыслица
abradant|абразивный материал;шкурка
abrade|стирать;снашивать трением;сдирать(кожу);обдирать;шлифовать(техн);портить;сводить на нет
abrading|стирание;износ;шлифовка;притирка
abrading-action|износ
abrading-process|шлифовальный процесс
abrasing-machining|механическая шлифовка
abrasion|истирание;трение;ссадина;механическое повреждение поверхности вследствие трения;абразия;абразивный износ;смыв материка морской водой(геол);снашивание(техн);срабатывание;выскабливание;шлифование
abrasion-disc|шлифовальный круг
abrasion-fly-ash|абразивная пыль
abrasion-hardness|твердость на истирание
abrasion-index|коэффициент абразивного износа
abrasion-resistance|стойкость;сопротивление изнашиванию;износоустойчивость
abrasion-test|испытание на износ
abrasion-resistant-alloy|износостойкий сплав
abrasive|абразивный материал;шлифующий;размывающий(геол);резкий;колкий(о тоне,замечании);обидный;раздражающий(о человеке);несносный;спорный;могущий вызвать разногласия(обиды)
abrasive-cloth|наждачная бумага;шкурка
abrasive-coat|абразивное покрытие
abrasive-machining|абразивная обработка
abrasive-paste|абразивная паста
abrasive-powder|абразивный порошок
abrasives|абразивные материалы;твердые включения,вызывающие износ
abreaction|снятие нервно-психического напряжения
abreast|в ряд;рядом;на одной линии;не отставая;держась на(должном)уровне;на уровне
abrego|альбакор,тунец длинноперый(биол)
abridge|сокращать;уменьшать;укорачивать;проводить усечение;убавлять;ограничивать;урезать(права,привилегии);замыкать;закорачивать
abridged|сокращенный
abridgement|сокращение;еокра- щенный текст(издание);краткое изложение;конспект
abroachment|спекуляция
abroad|за границей;за границу;широко;повсюду;в заблуждении;вне дома;вне своего жилища;из дому;далеко от цели(при стрельбе,в играх)
abrogate|отменять;аннулировать;отказываться;отбрасывать
abrogation|отмена;аннулирование
abrupt|внезапный;неожиданный;крутой;обрывистый;резкий;грубый(о манерах);отрывистый;неровный(о стиле);скачкообразный(об изменении)
abrupt-slope|крутой уклон(откос)
abruption|разрыв;разъединение;отторжение;выход на поверхность(пласта)(геол)
abruption-test|испытание на разрыв
abruptness|крутизна;обрывистость;внезапность;неожиданность;непредсказуемость;сюрприз;резкость(движений);резкость;грубость(ответа);отрывистость;неровность(стиля)
abs(antiskid-brake-system)|противоскользящая тормозная система
abscess|нарыв
abscissa|абсцисса;ось абсцисс
abscission|ампутация(мед);сбрасывание или опадение(бот)
abscond|скрываться(счужими деньгами);бежать(от суда,следствия,правосудия)
abseil|спускаться на веревке(об альпинистах)
abseil-piton|крюк с кольцом
absence|отсутствие;неявка;недостаток;неимение;рассеянность;отсутствие внимания
absence-from-court|неявка в суд
absence-from-work|прогул
absence-of-demand|отсутствие спроса
absence-of-novelty|отсутствие новизны
absence-of-utility|отсутствие полезности
absence-without-leave|прогул;неявка на работу
absent|отсутствующий(где-либо);кажущийся;рассеянный;отлучиться;отсутствовать;не явиться;уклоняться(от работы);в отсутствие
absent-good-cause|отсутствие уважительной причины
absent-mindedness|невнимательность;рассеянность
absentee|отсутствующий;не явившийся;уклоняющийся(от посещения собраний,занятий)
absenteeism|абсентеизм;невыход(ы)на работу: прогул(ы);длительное отсутствие собственника на недвижимость
absently|рассеянно
absinth|полынь горькая(бот);абсент;полынная водка;желтовато-зеленый цвет
absolute|полный;абсолютный;безусловный;беспримесный;чистый;самовластный;неограниченный;действительный;несомненный;максимальный
absolute-acceleration|абсолютное ускорение(метео)
absolute-acceptance|безоговорочный акцепт
absolute-accuracy|абсолютная точность
absolute-address|абсолютный адрес(компьют)
absolute-altitude|абсолютная высота
absolute-authority|абсолютная власть
absolute-code|машинный код
absolute-control|полный контроль
absolute-determination|абсолютное определение(метео)
absolute-deviation|модуль отклонения
absolute-electrometer|абсолютный электрометр
absolute-error|абсолютная ошибка
absolute-extremum|абсолютный экстремум
absolute-humidity|абсолютная влажность
absolute-majority|абсолютное большинство
absolute-pitch|абсолютный слух
absolute-scale|абсолютная шкала
absolute-standard-barometer|нормальный барометр
absolute-temperature|абсолютная температура
absolute-transfer|полная передача прав
absolute-unit|абсолютная единица(мат)
absolute-value|абсолютная величина;абсолютное значение
absolute-vector|абсолютный вектор
absolute-velocity|абсолютная скорость
absolutely|безусловно;конечно;точно;именно;вполне
absoluteness|безусловность;неограниченность;полнота власти
absolution|прощение;освобождение(от ответственности,долгов,наказания);оправдание(юр);абсолюция
absolutism|абсолютизм;неограниченная монархия;бесспорность;несомненность;философия абсолюта
absolve|освобождать;избавлять(от ответственности,долгов,наказания);прощать;оправдывать;выносить оправдательный приговор кому-либо;отпускать(грехи)
#(to absolve from blame/прощать вину)
absorb|всасывать;впитывать;абсорбировать;поглощать(внимание);понимать;постигать;оплачивать;брать на себя(расходы);вынести;выдержать;переносить;амортизировать(толчки)
#(to absorb heat/поглощать тепло)
#(to absorb light/поглощать свет)
#(to absorb odor/поглощать запах)
#(to absorb power/поглощать мощность)
#(to absorb radiation/поглощать излучение)
#(to absorb the full meaning of a remark/полностью осознать смысл(сделанного)замечания)
absorbability|поглотительная способность
absorbable|поглощаемый
absorbed|абсорбированный;поглощенный;увлеченный чем-либо;занятый чем-либо
absorbed-heat|поглощенное тепло
absorbed-neutrons|поглощенные нейтроны
absorbency|впитывающая способность
absorbent|абсорбент;поглотитель;промокательная бумага;лимфатические сосуды(биол)
absorbent-gland|лимфатический узел
absorber|амортизатор
absorbing|впитывающий;всасывающий;всепоглощающий;амортизирующий(техн);смягчающий(удар)
absorbing-capacity|поглощающая способность
absorbing-layer|поглощающий слой
absorbing-power|поглощающая способность
absorption|всасывание;впитывание;погруженность(в мысли,работу);поглощение;включение в число членов
absorption-coefficient|коэффициент поглощения
absorption-function|функция поглощения
absorption-spectrum|спектр поглощения
absorptive|поглощающий;абсорбирующий;амортизирующий;смягчающий
absorptivity|поглощательная способность
abstain|воздерживаться;не голосовать
abstainer|непьющий;трезвенник;воздержавшийся(при голосовании)
abstemious|воздержанный;умеренный(в пище,питье);отрегулированный;сдержанный;скромный;бережливый;сберегательный;экономный
